Run	N+	N-
6421	138921	79328
6422	132912	75610
6426	116014	66086
6429	151066	86119
6430	28803	16435
6431	118103	68043
6432	146214	83457
6433	165349	94504
6437	56934	32430
6442	153546	87852
6444	27723	16091
6445	142667	81365
6449	139870	79722
6450	149525	85144
6451	142750	82148
6452	154184	88092
6453	143555	82025
6454	48882	28263
6455	153405	87356
6456	145986	83012
6457	56926	32710
6461	135273	77516
6462	149156	85501
6463	129204	74238
6464	69001	39137
6465	156360	89087
6466	147497	84914
6467	144505	82575
6468	44754	25358
6470	80527	46097
6472	159838	91333
6473	40332	23178
6474	161163	92433
6475	157933	90705
6476	103385	59029
6479	163964	94019
6481	157207	90216
6482	159075	90939
6483	112257	64459
6484	154822	88045
6485	74227	42282
6486	166158	95065
6488	165682	93951
6489	147884	84319
6491	154055	88330
6498	137992	79675
6499	136182	78499
6502	164445	93515
6510	55721	31983
6511	109397	62115
6512	132310	75411
6513	165318	94089
6514	154510	87993
6522	149636	85250
6523	147009	84574
6524	156517	89235
6525	125691	70239
6546	91925	52758
6547	97963	56275
6548	91259	52623
6549	89882	51417
6550	90900	52778
6557	90104	51875
6559	90020	51646
6560	60372	34362
6563	36904	21144
6565	90606	51717
6566	90594	51616
6567	89803	51596
6569	89972	52248
6570	91513	52336
6571	93388	53471
6572	90976	51868
6576	90174	51583
6577	90816	52179
6578	60073	34133
6582	35895	20944
6585	90652	51701
6586	90659	51883
6587	60325	34773
6589	14994	8488
6590	93581	53581
6591	92078	52300
6593	90684	51981
6595	94421	54282
6597	27321	15941
