Run	Charge
11362	274846
11363	274922
11364	277919
11365	273608
11366	262168
11367	157163
11368	297797
11370	267807
11373	280725
11374	258764
11375	274513
11376	272922
11378	161675
11379	126970
11381	224658
11383	125675
11386	287016
11387	128317
11389	272614
11390	132808
11395	243293
11396	243250
11397	56276.1
11398	247770
11399	93049.1
11400	128318
11401	253982
11402	267088
11403	196901
11404	211972
11412	237717
11413	126612
11414	230595
11415	235412
11416	231686
11417	233446
11418	62503.5
11419	26411.3
11420	216896
11422	249750
11423	192112
11429	95601.7
11430	241399
11432	240377
11433	239425
11434	185931
11435	253266
11436	192304
11437	256557
11438	242994
11439	107045
11440	255022
11441	122013
11442	240556
11443	46323.2
11444	240678
11446	299656
11447	76001
11449	248287
11450	253753
11451	7147.62
11458	241937
11460	247702
11462	186678
11463	63140.8
11465	159452
11466	249426
11467	242061
11468	55502.3
11469	38256.1
11470	248180
11471	262733
11472	249062
11473	256080
11474	249425
11475	248879
11476	249003
11477	261097
11479	119353
11480	251027
11481	270594
11483	159109
11484	94723.9
11490	250013
11491	41875.4
11492	260420
11493	250295
11494	250682
11495	251273
11496	46668.5
11497	125402
11498	80927.6
11499	188985
11501	17556.6
11502	235277
11504	237853
11505	258109
11506	239195
11507	10824.1
11509	93558.3
11510	269947
11511	213941
11512	240111
11513	236687
11514	237204
11515	238939
11516	245589
11517	265166
11518	244418
11519	114848
11521	49390.4
11522	242352
11524	266308
11525	164453
11528	240624
11529	205610
11530	242167
11531	246100
11532	15921
11533	178134
11534	258005
11535	46272.4
11536	237128
11539	174668
11540	131902
11541	44029.6
11544	234643
11545	242199
11546	235434
11550	47502.5
11554	236182
11556	204063
11557	253486
11560	169071
11561	219844
11562	246408
11563	281117
11564	249102
11565	252247
11566	253387
11567	254034
11568	247689
11569	246879
11570	251841
11571	185524
0	2.90652e+07
