Run	Charge
6164	267894
6189	184817
6190	60173.5
6191	170054
6193	208143
6194	31857.7
6197	136396
6198	163790
6200	43928.6
6201	108022
6202	136049
6204	165833
6206	22554.2
6208	144916
6210	63557.4
6214	159370
6215	185586
6216	61416.7
6218	92048.1
6219	37891
6220	67772.6
6221	186908
6222	34514.6
6223	176534
6224	153932
6225	128122
6233	180175
6235	177201
6236	163450
6237	141421
6239	137306
6240	218365
6241	31934.7
6243	44066
6244	132304
6245	138267
6247	130562
6249	144341
6253	153511
6255	125927
6256	131725
6257	170802
6258	169402
6259	183363
6260	104433
6286	46111.7
6289	282132
6296	194235
6298	174314
6299	56819.2
6302	569966
6305	350410
6307	515490
6310	560176
6311	499159
6313	538118
6321	546201
6326	525574
6327	542968
6328	570977
6329	574944
6330	526557
6331	298804
6333	529787
6334	13182.9
6335	539829
6336	548882
6337	530562
6338	155501
6339	246125
6340	573884
6341	208665
6346	555366
6347	213700
6348	218463
6349	247951
6351	540903
6353	284010
6354	94874
6361	273645
6362	499499
6363	554868
6366	495243
6367	340313
6368	496263
6369	395289
6370	529910
6377	377186
6378	451134
6379	413467
6380	529765
6381	447233
6382	381801
6383	431192
6384	197583
6385	93014
6386	92313.2
6396	66439.9
6399	280614
0	2.60921e+07
