Run	N+	N-
6164	70510	41272
6189	48833	28575
6190	16082	9419
6191	45256	26138
6193	54769	32240
6194	8110	4822
6197	36110	21277
6198	43363	25319
6200	11512	6541
6201	29022	16667
6202	40519	23607
6204	49480	28702
6206	6722	3879
6208	43437	25428
6210	19041	11000
6214	47183	27546
6215	54831	32201
6216	17840	10440
6218	26019	15127
6219	11067	6468
6220	20106	11857
6221	55425	32565
6222	10165	5854
6223	53888	30722
6224	46890	26441
6225	38905	22172
6233	54182	31188
6235	54497	30896
6236	49673	28452
6237	42850	24885
6239	42185	23998
6240	67324	38689
6241	9917	5656
6243	13422	7739
6244	40609	23353
6245	42348	24428
6247	40038	23430
6249	44307	25719
6253	47107	26870
6255	38958	22377
6256	40120	22987
6257	52143	30234
6258	51526	29524
6259	56168	32475
6260	32505	18347
6286	13657	7980
6289	82299	47536
6296	57625	33172
6298	48922	27981
6299	15687	8733
6302	157521	90058
6305	97477	55907
6307	143469	81782
6310	154479	88072
6311	137163	78427
6313	147784	84642
6321	150242	85800
6326	144764	82155
6327	149252	84899
6328	157671	90264
6329	157698	89643
6330	145560	82994
6331	82904	47412
6333	146851	83772
6334	3716	2033
6335	150066	85666
6336	151858	87411
6337	147671	84296
6338	42844	24649
6339	68082	39203
6340	160103	91353
6341	57946	33135
6346	153692	86986
6347	58796	33860
6348	60531	34489
6349	68427	39215
6351	150898	86127
6353	80457	46043
6354	27354	15426
6361	76682	43961
6362	138113	78378
6363	154150	87802
6366	136848	77637
6367	94437	54042
6368	137096	78580
6369	109248	62776
6370	146777	84136
6377	105022	59956
6378	125311	71865
6379	113655	65585
6380	147155	84778
6381	124929	72019
6382	106813	61117
6383	121328	69716
6384	55260	31918
6385	26572	14961
6386	25671	14701
6396	18513	10428
6399	77493	43841
