Run	Charge
0	674.711
1	573.663
2	570.82
3	669.836
4	567.548
5	570.403
6	663.68
7	574.07
8	569.426
9	549.109
10	575.875
11	573.723
12	577.812
13	570.75
14	574.586
15	575.68
16	574.008
17	571.893
18	569.934
19	571.062
20	578.43
21	570.303
22	574.273
23	570.414
24	571.512
25	729.688
26	567.812
27	570.406
28	571.008
29	575.203
30	569.238
31	573.039
32	572.383
33	573.918
34	575.941
35	572.324
36	571.123
37	574.012
38	575.492
39	575.213
40	574.656
41	571.023
42	569.168
43	570.209
44	577.672
45	731.039
46	570.273
47	573.538
48	573.781
49	568.008
50	570.065
51	572.547
52	572.922
53	577.246
54	572.357
55	572.271
56	571.781
57	573.336
58	571.898
59	571.684
60	575.305
61	570.73
62	571.24
63	575.703
64	565.214
65	728.297
66	569.529
67	580.633
68	576.188
69	570.321
70	569.973
71	573.773
72	574.22
73	574.16
74	573.188
75	575.896
76	574.516
77	572.715
78	570.945
79	566.832
80	573.426
81	573.309
82	571.617
83	570.227
84	571.816
85	571.441
86	573.277
87	574.246
88	574.762
89	573.957
90	572.037
91	570.574
92	572.008
93	573.086
94	571.195
95	574.45
96	569.507
97	577.734
98	577.977
99	571.377
100	571.601
101	574.352
102	571.088
103	572.082
104	569.844
105	576.332
106	575.039
107	571.438
108	576.152
109	575.08
110	572.33
111	568.387
112	573.686
113	673.227
114	571.525
115	569.189
116	569.234
117	571.041
118	572.605
119	582.984
120	570.208
121	570.11
122	567.07
123	571.07
124	567.01
125	571.469
126	576.227
127	575.871
128	575.766
129	567.52
130	568.828
131	575.16
132	574.746
133	576.953
134	576.016
135	570.148
136	572.97
137	678.562
138	730.883
139	568.729
140	669.758
141	576.125
142	574.136
143	566.904
144	574.359
145	576.527
146	569.932
147	572.086
148	571.758
149	568.539
150	573.707
151	570.059
152	571.801
153	668.984
154	573.26
155	578.516
156	752.672
157	575.105
158	571.32
159	569.719
160	576.617
161	569.885
162	729.906
163	572.109
164	569.383
165	570.491
166	572.362
167	576.062
168	574.641
169	574.633
170	579.977
171	573.952
172	578.352
173	571.529
174	579.695
175	578.086
176	574.648
177	575.129
178	573.375
179	575.414
180	576.469
181	578.234
182	574.969
183	574.629
184	575.129
185	576.152
186	569.375
187	574.292
188	337.688
189	574.008
190	571.196
191	573.047
192	576.266
193	576.727
194	575.062
195	571.514
196	572.352
197	572.459
198	573.453
199	576.594
200	575.371
201	574.477
202	573.719
203	574.934
204	577.164
205	575.316
206	575.531
207	576.682
208	573.852
209	573.453
210	571.479
211	577.078
212	575.18
213	572.953
214	666.013
215	574.672
216	572.648
217	580.277
218	572.154
219	576.019
220	570.547
221	576.516
222	576.648
223	571.548
224	576.367
225	571.961
226	578.406
227	577.371
228	572.219
229	578.832
230	569.543
231	574.688
232	575.473
233	571.039
234	575.516
235	572.727
236	578.062
237	571.599
238	573.484
239	576.102
240	578.992
241	569.342
242	572.897
243	576.414
244	573.094
245	572.467
246	577.219
247	571.101
248	570.135
249	668.074
250	579.809
251	570.449
252	573.73
253	575.438
254	580.039
255	572.246
256	574.051
257	577.336
258	571.879
259	577.141
260	572.504
261	574.254
262	575.785
263	574.164
264	576.336
265	573.531
266	579.105
267	577.756
268	574.443
269	572.709
270	576.141
271	577.289
272	571.547
273	573.425
274	571.875
275	574.471
276	572.898
277	575.484
278	578.117
279	573.016
280	572.217
281	577.383
282	573.371
283	571.152
284	575.305
285	572.242
286	576.367
287	572.713
288	574.516
289	577.078
290	576.434
291	568.48
292	576.172
293	572.519
294	578.328
295	678.789
296	573.028
297	571.219
298	569.139
299	576.523
300	573.547
301	681.422
302	579.258
303	575.219
304	571.258
305	574.539
306	573.328
307	572.004
308	574.93
309	573.143
310	573.867
311	571.926
312	574.195
313	566.41
314	574.172
315	574.973
316	573.93
317	576.951
318	575.766
319	572.248
320	577.055
321	575.992
322	576.195
323	571.836
324	569.281
325	599.581
326	571.28
327	575.758
328	575.176
329	574.531
330	571.545
331	576.312
