Z,r=D-/D+,delta_r
0.33734265734265700,0.5333333333333330,0.03
0.4095104895104900,0.44074074074074100,0.03
0.4956643356643360,0.462962962962963,0.03
0.5885314685314690,0.36543209876543200,0.03
0.6925874125874130,0.30000000000000000,0.04
0.8067132867132870,0.2925925925925930,0.04
0.9253146853146860,0.19753086419753100,0.04
